n,name,location,firstTeacher,start,stop
1,Volleyball,Gym,G,9:30,9:40
2,Oscar the grouch,Gym,Ordonez,9:40,9:50
3,Transition to blacktop,Hallway,Galbreath,9:50,10:00
4,Water balloon relay,Portables,Gomez,10:00,10:10
5,Sponge relay,Right blacktop,Morales,10:10,10:20
6,Scooter relay,Right blacktop,Gayle,10:20,10:30
7,Basketball,Right blacktop,McCahan,10:30,10:40
8,Golf,Left blacktop,Rivera,10:40,10:50
9,Badminton,Left blacktop,Francois,10:50,11:00
10,Team tag,behind playground,Delgado,11:00,11:10
Lunch,,,,11:15,12:15
11,Hockey pirates,Field,Macario,12:20,12:30
12,Soccer game,Field,Christie,12:30,12:40
13,Pinball,Field,Matthews,12:40,12:50
14,Sharks and Minnows,Field,Ward,12:50,1:00
15,Hula hoops/Jump Ropes,Field,Couch,1:00,1:10
16,Frisbee,Field,,1:10,1:20
17,Home Run derby,Field,,1:20,1:30
18,Memories/Chalk,Sidewalk in front of 4th grade portables,,1:30,1:40
19,Transition to Media Center,Pre-K door,,1:40,1:50
20,Musical Chairs,Media Center,,1:50,2:00
